Year,Player,Tm,Pos,FantasyPoints
2010,Arian Foster,HOU,RB,392.0
2010,Peyton Hillis,CLE,RB,294.92
2010,Adrian Peterson,MIN,RB,275.9
2010,Jamaal Charles,KAN,RB,282.5
2010,Chris Johnson,TEN,RB,272.9
2010,Brandon Lloyd,DEN,WR,286.0
2010,Dwayne Bowe,KAN,WR,278.6
2010,Darren McFadden,OAK,RB,267.4
2010,Roddy White,ATL,WR,312.2
2010,Michael Vick,PHI,QB,308.32
2010,Rashard Mendenhall,PIT,RB,241.0
2010,LeSean McCoy,PHI,RB,297.2
2010,Greg Jennings,GNB,WR,274.4
2010,Matt Forte,CHI,RB,262.6
2010,Michael Turner,ATL,RB,225.6
2010,Ray Rice,BAL,RB,276.6
2010,Aaron Rodgers,GNB,QB,304.48
2010,Mike Wallace,PIT,WR,249.6
2010,Calvin Johnson,DET,WR,264.2
2010,Tom Brady,NWE,QB,299.0
2010,Ahmad Bradshaw,NYG,RB,237.9
2010,Maurice Jones-Drew,JAX,RB,234.1
2010,Steven Jackson,STL,RB,242.4
2010,Jason Witten,DAL,TE,246.2
2010,Philip Rivers,SDG,QB,279.6
2010,Peyton Manning,IND,QB,285.8
2010,Reggie Wayne,IND,WR,280.5
2010,Hakeem Nicks,NYG,WR,250.2
2010,Andre Johnson,HOU,WR,256.6
2010,Steve Johnson,BUF,WR,247.3
2010,BenJarvus Green-Ellis,NWE,RB,199.3
2010,Mike Williams,TAM,WR,223.4
2010,Miles Austin,DAL,WR,228.4
2010,Jeremy Maclin,PHI,WR,228.0
2010,Drew Brees,NOR,QB,270.2
2010,Antonio Gates,SDG,TE,188.2
2010,Cedric Benson,CIN,RB,194.9
2010,DeSean Jackson,PHI,WR,203.0
2010,Vernon Davis,SFO,TE,189.4
2010,Terrell Owens,CIN,WR,224.3
2010,Larry Fitzgerald,ARI,WR,239.7
2010,Marcedes Lewis,JAX,TE,184.0
2010,Josh Freeman,TAM,QB,256.44
2010,Mario Manningham,NYG,WR,206.6
2010,Santana Moss,WAS,WR,235.9
2010,Matt Ryan,ATL,QB,246.4
2010,Marques Colston,NOR,WR,228.4
2010,LaDainian Tomlinson,NYJ,RB,216.2
2010,Knowshon Moreno,DEN,RB,196.1
